task,subtask,episode,original_start,original_end,cropped_traj_start,cropped_traj_end,path,same_gripper_state,instructions_1,instructions_2,instructions_3
banana_from_sink_to_right_stove,default_task,2025_04_15-01_09_15,0,82,0,74,banana_from_sink_to_right_stove/default_task/2025_04_15-01_09_15,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_09_41,0,85,9,75,banana_from_sink_to_right_stove/default_task/2025_04_15-01_09_41,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_14_39,0,97,0,85,banana_from_sink_to_right_stove/default_task/2025_04_15-01_14_39,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_15_07,0,93,11,80,banana_from_sink_to_right_stove/default_task/2025_04_15-01_15_07,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_15_37,0,108,22,97,banana_from_sink_to_right_stove/default_task/2025_04_15-01_15_37,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_16_17,0,94,9,82,banana_from_sink_to_right_stove/default_task/2025_04_15-01_16_17,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_16_54,0,80,0,70,banana_from_sink_to_right_stove/default_task/2025_04_15-01_16_54,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_17_28,0,83,0,71,banana_from_sink_to_right_stove/default_task/2025_04_15-01_17_28,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_17_58,0,96,0,83,banana_from_sink_to_right_stove/default_task/2025_04_15-01_17_58,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_18_36,0,107,0,90,banana_from_sink_to_right_stove/default_task/2025_04_15-01_18_36,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_19_14,0,100,0,90,banana_from_sink_to_right_stove/default_task/2025_04_15-01_19_14,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_19_50,0,94,0,82,banana_from_sink_to_right_stove/default_task/2025_04_15-01_19_50,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_20_28,0,100,0,87,banana_from_sink_to_right_stove/default_task/2025_04_15-01_20_28,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_21_07,0,97,0,82,banana_from_sink_to_right_stove/default_task/2025_04_15-01_21_07,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_21_47,0,102,0,88,banana_from_sink_to_right_stove/default_task/2025_04_15-01_21_47,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_22_25,0,91,0,75,banana_from_sink_to_right_stove/default_task/2025_04_15-01_22_25,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_23_00,0,93,0,79,banana_from_sink_to_right_stove/default_task/2025_04_15-01_23_00,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_23_38,0,96,0,84,banana_from_sink_to_right_stove/default_task/2025_04_15-01_23_38,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_24_13,0,96,0,83,banana_from_sink_to_right_stove/default_task/2025_04_15-01_24_13,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,default_task,2025_04_15-01_24_50,0,97,0,83,banana_from_sink_to_right_stove/default_task/2025_04_15-01_24_50,False,Move the banana from sink to right stove.,Transfer the banana from sink to the right stove.,Relocate the banana from sink to the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_35_16,0,105,0,47,banana_from_sink_to_right_stove/others/2025_04_15-01_35_16,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_35_16,0,105,47,70,banana_from_sink_to_right_stove/others/2025_04_15-01_35_16,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_35_16,0,105,70,91,banana_from_sink_to_right_stove/others/2025_04_15-01_35_16,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_35_52,0,110,0,46,banana_from_sink_to_right_stove/others/2025_04_15-01_35_52,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
banana_from_sink_to_right_stove,position_with_banana_above_right_stove,2025_04_15-01_35_52,0,110,46,75,banana_from_sink_to_right_stove/others/2025_04_15-01_35_52,True,"With the banana grasped from sink, lift and move it above the right stove.","Holding the banana in the gripper from sink, align it over the right stove burner.","Holding the banana from sink, position the banana above the stovetop surface."
banana_from_sink_to_right_stove,let_go_of_banana,2025_04_15-01_35_52,0,110,75,91,banana_from_sink_to_right_stove/others/2025_04_15-01_35_52,False,Release the banana onto the right stove.,Let go of the banana above the right stove.,Open the gripper to drop the banana onto the right stove.
banana_from_sink_to_right_stove,grasp_banana,2025_04_15-01_36_30,0,97,0,43,banana_from_sink_to_right_stove/others/2025_04_15-01_36_30,False,Reach into the sink and grasp the banana.,Close the gripper around the banana in the sink basin.,Firmly pick up the banana from the sink.
